STE_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
1,3,9,27,187,241,987,2626,1983,680,6739,0,24,117,719,363,715,623,327,172,3050,7,71,320,1513,694,537,407,161,73,3787,51,409,7989,19222,717,462,182,33,0,29073,33,154,230,1148,707,881,2207,1769,791,7910,364,2689,5513,17726,10886,10225,7041,3032,871,58346,9,45,112,1285,1219,2050,2393,1269,457,8835,189,1703,1352,7954,1521,834,458,108,26,14166,6,47,132,528,947,741,414,152,64,3032,213,2165,4233,26270,10919,10850,7490,1870,588,64606,11,67,105,2380,1029,1243,1705,755,625,7918,7,249,512,1312,1174,1053,576,189,33,5100,18,210,379,2012,1763,2857,3108,2317,884,13544,132,957,954,2255,1158,1059,946,329,101,7893,131,1193,1982,7952,5299,3722,2905,1509,485,25175,59,527,913,5570,2668,2696,1791,885,359,15460,58,250,388,4773,1117,794,816,119,23,8346,84,648,1376,12841,3704,1950,902,177,29,21704,37,189,181,1903,1763,1497,1052,569,123,7325,513,1887,1976,6975,2361,2060,1666,618,152,18206
2,0,13,47,291,362,1290,3349,2347,839,8541,9,63,391,2130,791,1243,994,483,251,6354,12,247,994,3632,1009,574,339,145,59,7010,25,198,2264,6152,245,151,64,16,0,9118,19,133,208,846,636,905,2990,2392,1099,9216,516,3951,5760,18458,8070,6872,4099,1521,453,49708,4,48,133,1652,1481,2204,2534,1210,430,9699,221,1788,1469,7395,926,478,313,68,16,12660,5,27,73,389,569,305,138,21,5,1534,170,1697,3460,18190,7104,5919,3678,931,239,41391,3,31,86,1698,996,1447,2064,974,900,8192,12,228,506,1165,849,657,300,92,31,3845,15,192,402,2034,1514,2679,2969,2329,964,13109,96,943,1399,3508,1542,1164,864,249,67,9829,107,768,1433,5232,3362,2276,1671,818,304,15969,113,1264,2662,13925,5180,4367,3250,1499,610,32868,40,169,361,4199,697,495,429,48,10,6442,101,918,1739,7845,2251,1009,370,88,21,14337,30,173,235,2185,2445,2087,1283,640,159,9240,335,1309,1466,4914,1634,1341,1157,357,60,12570
3,3,6,13,46,54,171,434,351,110,1191,0,11,49,263,115,185,170,91,38,915,6,60,219,1049,300,227,149,71,29,2109,10,156,1348,3559,110,95,24,6,0,5311,18,102,180,803,656,908,2057,1432,568,6729,630,5806,10591,31646,19994,17772,12237,5110,1317,105100,0,3,13,153,110,142,103,43,22,592,43,374,336,1584,243,143,98,26,3,2839,36,369,959,2500,2657,1778,1044,292,114,9749,141,1651,3045,13626,6222,5501,3312,822,159,34481,8,41,50,1075,470,483,711,301,190,3336,10,182,404,1199,999,929,574,211,29,4540,18,293,495,1806,1645,2414,2463,1650,619,11401,48,329,531,1303,729,598,477,101,27,4154,136,1455,2937,8395,5348,3489,2101,934,276,25074,39,312,569,2266,944,787,601,275,99,5893,79,340,624,5845,1097,898,727,140,35,9783,64,599,1014,4971,2098,936,367,74,15,10136,11,47,37,354,191,124,78,45,7,897,203,902,1179,3811,1329,1337,1222,417,84,10491
4,0,0,0,19,27,73,279,200,79,670,0,3,16,61,21,26,15,6,3,149,0,55,206,588,157,64,37,24,9,1137,16,202,791,2432,57,45,9,0,0,3555,3,26,46,199,197,363,1237,755,316,3148,47,307,491,1754,1250,1340,944,394,106,6634,0,0,6,33,23,36,44,43,19,200,60,459,445,1195,166,65,44,14,4,2456,0,15,27,130,213,92,46,11,4,545,45,487,934,4067,1725,1469,905,275,60,9962,0,12,34,562,333,544,644,313,261,2704,0,0,4,20,7,6,8,0,0,56,13,100,190,591,632,1358,1496,1117,470,5962,12,123,235,487,256,200,178,53,9,1548,46,362,498,1384,875,514,347,185,40,4257,29,239,266,1276,385,156,131,68,22,2562,7,40,73,739,93,70,40,6,0,1076,16,148,220,1269,536,196,92,14,0,2494,7,21,15,107,64,45,48,23,10,346,51,235,282,898,321,374,330,140,26,2661
5,0,4,9,33,28,86,148,79,29,422,3,85,271,1150,284,361,301,135,66,2659,8,78,298,1584,807,871,809,314,200,4970,8,61,386,1550,78,47,16,4,0,2156,20,67,132,603,442,478,1264,987,480,4475,238,2109,3393,12051,6562,6661,3652,1113,255,36029,3,12,43,430,276,357,338,195,93,1749,49,424,289,1670,222,143,107,29,5,2933,4,54,128,267,315,156,62,12,0,1011,98,1743,3189,8875,3943,2309,1266,284,34,21737,4,37,52,874,452,576,744,229,264,3244,0,6,23,69,44,53,29,15,0,247,26,373,733,2578,2126,2854,2412,1496,570,13161,41,441,921,2719,1348,1506,1254,428,119,8777,96,1281,2897,7461,5147,3180,1815,839,288,23009,26,264,447,1819,670,487,415,223,64,4406,33,67,65,2087,176,126,95,11,4,2665,62,543,819,3182,1611,790,348,56,17,7428,6,34,31,301,139,84,41,19,9,664,100,511,550,1936,699,674,565,206,54,5299
6,0,0,0,0,0,5,16,10,3,43,0,0,3,18,9,3,10,6,0,43,4,10,37,87,27,12,8,3,0,192,7,116,417,2286,21,19,3,0,0,2869,0,7,9,78,81,111,357,318,111,1073,18,81,128,610,549,636,484,200,47,2761,0,0,0,3,0,4,4,3,0,16,26,30,42,290,16,3,3,3,0,412,0,3,7,32,91,38,26,0,0,206,7,87,113,758,303,258,199,56,7,1775,0,0,0,66,41,56,87,61,36,351,0,0,0,6,3,4,5,0,0,23,3,25,34,98,108,243,297,242,81,1121,3,18,40,116,55,43,44,9,0,333,16,58,75,323,208,170,163,49,26,1083,9,34,52,423,50,32,16,15,4,636,0,11,8,367,14,8,0,0,0,413,11,45,52,283,148,72,35,0,0,642,0,0,0,10,12,6,4,6,0,38,16,64,85,331,150,171,196,62,9,1083
7,0,0,0,0,6,0,0,3,0,16,0,0,6,31,0,6,7,0,0,48,0,0,5,49,19,14,4,3,0,103,0,43,198,1081,20,16,3,0,0,1364,0,3,4,58,17,23,51,29,10,186,13,100,120,654,387,412,197,53,5,1949,0,0,0,0,0,0,0,0,0,6,11,26,18,148,19,7,0,0,0,236,0,8,29,92,114,63,37,0,0,342,22,260,410,1676,655,425,265,68,21,3801,0,0,3,44,5,11,12,3,0,73,0,0,4,17,6,0,5,0,0,33,3,8,11,71,52,66,38,36,11,288,0,5,13,48,36,40,30,17,0,189,7,40,56,178,93,59,13,8,0,463,6,51,46,357,54,38,24,12,7,598,4,13,4,288,12,10,0,0,0,342,5,47,82,337,174,115,56,18,0,829,0,0,0,10,0,0,0,0,0,18,20,77,48,243,66,72,43,8,0,573
8,0,0,5,6,5,11,55,30,13,127,0,11,17,93,32,23,16,3,0,198,0,3,32,124,81,40,29,17,10,340,8,35,520,1978,37,29,16,3,0,2630,0,19,32,64,43,52,139,124,57,533,20,150,245,756,436,420,268,126,32,2454,0,0,6,72,36,56,61,17,6,249,12,135,125,787,105,42,22,0,0,1239,0,3,22,89,128,90,36,12,4,376,10,154,263,1442,499,389,230,66,13,3075,0,14,7,145,77,98,131,60,44,578,0,7,24,42,29,30,9,8,0,147,5,21,40,123,117,177,177,175,69,888,8,54,95,213,107,75,56,14,8,627,9,66,167,408,278,128,100,36,17,1214,5,78,123,691,266,260,172,74,29,1689,3,12,25,258,50,25,17,5,0,395,10,63,104,538,191,114,69,19,3,1116,3,11,6,44,33,19,19,6,0,130,56,201,241,615,258,162,165,70,4,1780
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,34,28,50,44,24,3,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,16,12,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,4,3,4,0,0,17,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,10
