STE_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1,121974,81848,95902,88310,80561,71947,54764,36468,23060,654834,1470001,954084,1142026,1103170,1016948,961784,788725,451521,183895,8072154
2,90329,60985,75553,67444,62183,53548,41360,26469,14840,492711,1169456,773536,975493,918738,826885,746547,605557,344801,142475,6503488
3,85431,60694,68931,62996,60906,50874,36614,21853,11251,459550,964322,637250,701724,687817,674132,615299,503466,274997,97140,5156147
4,21485,15018,16300,15902,16317,15238,11713,7478,3927,123378,303138,208326,235287,226660,224641,227147,196344,112656,47325,1781524
5,40804,28018,36977,35419,32942,26815,17933,10664,5856,235428,505783,312079,372352,379492,348256,313444,247382,131131,50106,2660025
6,7804,5281,5645,5162,5425,5528,4732,2845,1224,43646,92635,61089,76661,65959,69206,75393,66998,36649,12995,557585
7,5337,3640,5559,4543,3876,3033,1666,573,163,28390,48897,29968,42894,35817,29970,24236,14499,5157,1157,232595
8,4791,4606,4861,3824,3200,2490,1930,1081,530,27313,82936,60606,77747,69387,56207,45406,35673,19350,7181,454493
9,128,92,219,157,139,115,82,53,6,991,825,410,583,642,665,772,586,257,66,4806
