STE_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
1,1902734,5425383,148636,295961,191942,488543,340582,784509,133273,247138,165740,330726,197166,406733,123297,255816,10553,25991,630030,1266406,3718,5774,6041,9012,550,990,9061,19570,19374,35350,7754,15676,2900468,7527325,299524,..,3199988,7527325
2,1755423,4841552,199466,390680,132782,325095,332251,715773,97090,171805,53293,87422,63084,103561,74477,128651,1178,2498,289120,493940,1942,2782,3550,5111,177,334,4788,9462,10455,17688,2984,6048,2390232,6075006,298029,..,2688261,6075006
3,1397920,3863756,91413,159700,127140,274057,218546,433760,72531,122001,58479,102353,49746,89820,50171,89312,2598,5260,233531,408745,6914,11165,4328,6639,1010,1967,1271,2728,13519,22498,5947,11491,1869462,4740249,192393,..,2061855,4740249
4,539001,1382815,76382,139502,24256,52216,100639,191720,32909,54241,4459,7183,5635,9396,3689,6195,340,743,47026,77756,1213,2047,761,1172,83,179,711,1553,2766,4949,1881,3654,691313,1660888,83821,..,775135,1660888
5,769038,2064920,92186,170552,33264,67009,125450,237559,21041,33877,14668,23256,16268,26448,9472,16281,912,1865,62360,101738,2926,4830,1867,2771,337,679,733,1617,5858,9909,2023,3968,964734,2418097,118109,..,1082844,2418097
6,191561,468046,9471,14883,3929,7907,13402,22788,9391,16025,1183,1941,667,1155,37,66,293,565,11575,19751,537,822,353,625,52,104,443,955,1389,2510,484,935,218412,514032,29185,..,247594,514032
7,47212,154027,5757,12639,3207,7091,8964,19732,4794,9596,1947,4108,3268,6943,2592,5216,42,95,12644,25965,744,1532,195,342,178,435,60,138,1181,2444,659,1242,70660,203412,10404,..,81067,203412
8,106433,303827,13757,27077,15164,34965,28921,62046,5628,10224,7745,14238,12642,22199,6206,11000,442,862,32669,58520,45,64,105,181,0,0,7,33,168,276,213,449,168400,425111,11988,..,180389,425111
9,1259,3052,95,233,14,33,106,258,78,136,51,136,5,13,0,0,12,14,141,296,0,0,0,9,0,0,3,7,5,14,23,35,1533,3657,331,..,1861,3657
